G_unit,ref,guid,name
10718200,SE/009205200,06BF2B0A-133D-4CB6-9EE3-EA2EDB7D0FFA,"FRYKSDALS KONTRAKT"
10718211,SE/148000002,06CB6678-1B97-474E-AF75-E962CC9C2B36,"GÖTEBORGS STAD"
10718223,SE/263009300,06D26288-417D-4C27-8EAA-5062871EF934,"KÅLLANDS HÄRAD"
10718235,SE/238001999,06D52508-EDD8-45FE-B28C-A52178831079,"NORRLANDS ARTILLERIREGEMENTE"
10718247,SE/066500006,06E37A89-BF97-4202-ACE1-143E3A591AEA,"HAGSHULTS KOMMUN"
10718259,SE/228400014,07028CAD-1B25-4288-BD3C-A71DB60AC91B,"TREHÖRNINGSJÖ KOMMUN"
10718260,SE/244008300,070A434C-7A08-4BF3-A28E-00D07C619F1F,"HAMMARKINDS HÄRAD"
10718272,SE/007162200,07241F61-DC51-4230-9EE1-CF8D4CEEFCA5,"ÖSTERLENS KONTRAKT"
10718284,SE/002036200,0728E4B0-0753-4BD6-8308-D7D6D951CFC2,"NORRA TJUSTS KONTRAKT"
10718296,SE/240300001,07314DCD-B7D0-4EB1-AE71-F5F5A5E5968E,"BJURHOLMS KOMMUN 1863 1973"
10718302,SE/228400003,075291C5-269E-40BC-9DB1-698B0D202372,"ANUNDSJÖ KOMMUN"
10718314,SE/048000010,076978D5-1067-4695-8573-F4F74FAD0887,"LUNDA KOMMUN"
10718326,SE/148500013,077224E9-795F-4DDB-8B95-33610619735E,"BOKENÄS KOMMUN"
10718338,SE/198300007,077F6FEC-D740-47A0-AA13-F66A39DB7A46,"MUNKTORPS KOMMUN"
10718340,SE/156600011,07910D0F-CB4E-4EA7-8E74-D4A7A617FFB3,"GRUDE KOMMUN"
10718351,SE/128700036,07954D38-45AC-48F3-9BE2-C1F40E82EFA4,"FRU ALSTADS KOMMUN"
10718363,SE/168600060,07976335-E5E3-4BC2-8832-00BF08239208,"SMULA KOMMUN"
10718375,SE/151001300,07A19846-9A77-47B7-A722-3482920B2705,"BRO HÄRAD"
10718387,SE/168600009,07C4F77C-56C2-4808-B50E-3E9C7575A4C7,"FLOBY KOMMUN"
10718399,SE/003054200,07D6A63F-6E68-4720-BA5A-1A04C9ED5819,"KINNE KONTRAKT"
10718405,SE/098000045,07DE558E-95AD-44A5-812E-6462A824FCF8,"GULDRUPE KOMMUN"
10718417,SE/232100010,0804FDCB-760D-49C3-B529-72C8E25674F3,"HALLENS KOMMUN"
10718429,SE/126100014,0829D5F1-517B-41F8-96CA-DD724392A7D0,"HOFTERUPS KOMMUN"
10718430,SE/451005300,082AE814-2596-479D-9B3C-AEDB776696C5,"BULLARENS HÄRAD"
10718442,SE/148500007,08309476-69C5-4256-A192-1A0440C68F64,"HÖGÅS KOMMUN"
10718454,SE/228400012,083DC437-59A8-44B2-9BE2-2DF71D4A2EE2,"GIDEÅ KOMMUN"
10718466,SE/4100000000003,0842A73C-7175-4C9C-9DA7-E7E976C9BE26,"3:E BLEKINGE INDELTA BÅTSMANSKOMPANI 10"
10718478,SE/108000006,084F1A5B-A6E8-4235-980B-7D3AC06C264E,"LÖSENS KOMMUN"
10718480,SE/168002300,0859EDEB-FD8B-4251-8132-EBF58D0AC179,"TUHUNDRA HÄRAD"
10718491,SE/180399005,08629BFA-1956-4217-89D9-492012B39FD8,"KUMLA FÖGDERI"
10718508,SE/141900001,0868C545-4DF0-4DA7-B36B-3681463CFE26,"VALLA KOMMUN"
